card_number,card_deck,name,card_type,battle_modifier,price,hands,Armour,feet,head,class_limit,race_limit,gender_limit,special_use,big,roll_modifier,card_description
1,treasure,Staff Of Napalm,Weapon,5,800,1,0,,,{'Wizard':True},{},{},{},Big,0,Burning staff
2,treasure,Really Impressive Title,Item,3,0,0,1,,,{},{},{},{},Small,0,Impressive and inviable
3,treasure,Cheese Grater Of Peace,Weapon,3,400,1,,,,{'Cleric':True},{},{},{},,0,Big Cheese
4,treasure,Instant Wall,Item,0,300,0,,,,{},{},{},{'Fight':'End'},Small,0,Stops everything for sure
5,treasure,Freezing Explosive Potion,Item,3,100,0,,,,{},{},{},{'Sides':'Both'},Small,0,hot 'n' cold
6,treasure,Transferral Potion,Item,0,300,0,,,,{},{},{},{'Fight':'End','Room':'Loot','Player':'Choose'},Small,0,Quick transportation
7,treasure,Potion of Confusion,Item,3,100,0,,,,{},{},{},{Sides:Both},Small,0,Where have I put this?
8,treasure,Rat On A Stick,Weapon,1,0,1,,,,{},{},{},{Run Away:Level 8},Small,0,Eeew!
9,treasure,Sneaky Bastard Sword,Weapon,2,400,1,,,,{},{},{},{},Small,0,Surprice attack
10,treasure,Wand Of Dowsing,Item,0,1100,0,,,,{},{},{},{Discard:Add Card},Small,0,Yaaawn
11,treasure,Wishing Ring 1,Item,0,500,0,,,,{},{},{},{Curse:Cancel},Small,0,Curse B-gone
12,treasure,Boil An Anthill,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Just satisfying
13,treasure,Flaming Armour,Armour,2,400,0,1,,,{},{},{},{},Small,0,Smoking!
14,treasure,Bow With Ribbons,Weapon,4,800,2,,,,{'Elf':True},{},{},{},Small,0,Bowney
15,treasure,Boots of Butt-Kicking,Footwear,2,400,0,,1,,{},{},{},{},Small,0,Great foodwear against stupid people
16,treasure,Bribe GM With Food,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Enjoy the refreshments
17,treasure,Hoard!,Item,0,0,0,,,,{},{},{},{Treasure:3},Small,0,Great Gear
18,treasure,Pollymorph Potion,Item,0,1300,0,,,,{},{},{},{Fight:End,Treasure:Monster.treasure},Small,0,New style
19,treasure,1,000 Gold Pieces,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Kaching!
20,treasure,Kill The Hireling,GUAL,1,Not sold,0,,,,{},{},{},{Remove: Hireling, Level:1},Small,0,One less interferrer
21,treasure,Hireling,Item,1,0,0,,,,{},{},{},{Hands:1, Run Away:True,Big:1},Small,0,New Helper
